Date,Open,High,Low,Close,Adj Close,Volume
5/20/2025,167.76,169.68,164.26,165.32,165.12,33563300
5/19/2025,165.71,167.95,165.41,167.87,167.67,21374700
5/16/2025,168.93,170.65,166.95,167.43,167.23,36271400
5/15/2025,167.14,167.51,163.84,165.4,165.2,22717600
5/14/2025,161.31,168.34,160.93,166.81,166.61,31769200
5/13/2025,159.92,162.06,157.58,160.89,160.7,24944300
5/12/2025,159.1,160.44,157.89,159.58,159.39,31884900
5/9/2025,155.55,156.43,153.83,154.38,154.19,22871000
5/8/2025,155.92,157.41,154.1,155.75,155.56,38387500
5/7/2025,166.07,166.99,149.49,152.8,152.62,78729800
5/6/2025,163.96,166.74,163.13,165.2,165,10691900
5/5/2025,164.51,167.1,164.47,166.05,165.85,15309300
5/2/2025,164.96,166.7,163.66,165.81,165.61,16844900
5/1/2025,162.52,163.94,160.93,162.79,162.59,21904300
4/30/2025,159.86,161.37,157.15,160.89,160.7,20639500
4/29/2025,162.04,162.68,159.39,162.06,161.87,15955200
4/28/2025,164.26,164.95,160.38,162.42,162.23,20871200
4/25/2025,167.1,168.24,163,163.85,163.65,35148100
4/24/2025,158.52,161.71,158.09,161.47,161.28,30787500
4/23/2025,157.91,160.02,156.35,157.72,157.53,18575700
4/22/2025,151.07,154.61,150.87,153.9,153.72,15910300
4/21/2025,150.96,151.06,148.4,149.86,149.68,16147800
4/17/2025,156.61,157.07,150.9,153.36,153.18,19513400
4/16/2025,155.47,158.18,153.91,155.5,155.31,16921500
4/15/2025,161.57,162.05,157.65,158.68,158.49,15690800
4/14/2025,162.31,164.03,159.92,161.47,161.28,18255900
4/11/2025,155.59,159.86,155.59,159.4,159.21,22582000
4/10/2025,158.76,160.03,152.2,155.37,155.18,35270500
4/9/2025,146.33,161.87,145.81,161.06,160.87,46479500
4/8/2025,153.57,154.44,145.21,146.58,146.4,35304400
4/7/2025,143.39,154.93,142.66,149.24,149.06,47823000
4/4/2025,149.9,153.09,147.54,147.74,147.56,39832200
4/3/2025,152.84,154.69,152.18,152.63,152.45,28416100
4/2/2025,156.96,160.27,156.53,158.86,158.67,17113300
4/1/2025,155.3,160.08,155.26,158.88,158.69,20111400
3/31/2025,154.81,157.13,152.21,156.23,156.04,33591600
3/28/2025,162.36,163.81,155.34,156.06,155.87,34866500
3/27/2025,166.71,167.44,163.85,164.08,163.88,21571200
3/26/2025,171.3,171.94,166.86,167.14,166.94,22498000
3/25/2025,171.18,172.91,170.55,172.79,172.58,13841600
3/24/2025,169.26,170.5,167.44,169.93,169.73,18742800
3/21/2025,163.38,166.47,163.03,166.25,166.05,29882100
3/20/2025,163.82,167.03,163.14,165.05,164.85,19981500
3/19/2025,163.91,168.13,163.05,166.28,166.08,24955700
3/18/2025,165.96,166.44,158.8,162.67,162.47,24616800
3/17/2025,167.32,168.46,165.81,166.57,166.37,17839100
3/14/2025,165.32,168.25,164.51,167.62,167.42,18611100
3/13/2025,167.98,168.12,164.07,164.73,164.53,15206200
3/12/2025,168.47,169.53,165.48,169,168.8,19880100
3/11/2025,166.68,168.65,163.24,165.98,165.78,23705900
3/10/2025,170.16,170.45,165.57,167.81,167.61,28990700
3/7/2025,173.24,176.9,172.25,175.75,175.34,16395300
3/6/2025,172.55,176.73,172.51,174.21,173.8,19082400
3/5/2025,172.32,175.75,170.93,174.99,174.58,18848000
3/4/2025,167.94,175.16,167.54,172.61,172.21,30711400
3/3/2025,173.73,175,167.64,168.66,168.27,24122000
2/28/2025,170.3,172.5,168.39,172.22,171.82,30049800
2/27/2025,175.94,176.59,169.75,170.21,169.81,25930500
2/26/2025,176.95,178.08,173.59,174.7,174.29,23637200
2/25/2025,180.15,180.76,176.77,177.37,176.96,20832500
2/24/2025,183.8,185.09,180.88,181.19,180.77,18734000
2/21/2025,187.29,187.47,181.13,181.58,181.16,19520800
2/20/2025,186.5,187.12,184.6,186.64,186.2,12063800
2/19/2025,186.18,187.36,185.5,187.13,186.69,13120500
2/18/2025,187.44,187.78,183.58,185.8,185.37,19796000
2/14/2025,186.83,188.15,186.11,186.87,186.43,12714200
2/13/2025,185.93,187.99,184.88,187.88,187.44,12729300
2/12/2025,185.23,186.83,183.63,185.43,185,17632300
2/11/2025,186.84,188.8,186.08,187.07,186.63,13028100
2/10/2025,189.06,189.99,187.61,188.2,187.76,16606000
2/7/2025,192.74,193.01,185.1,187.14,186.7,29565700
2/6/2025,190.99,193.83,190.49,193.31,192.86,20816600
2/5/2025,193.1,194.55,189.91,193.3,192.85,43666400
2/4/2025,204.5,208.7,204.26,207.71,207.22,28285400
2/3/2025,202.21,205.22,201.66,202.64,202.17,16719500
1/31/2025,203.71,207.08,203.58,205.6,205.12,17060300
1/30/2025,199.76,203.24,199.47,202.63,202.16,14571500
1/29/2025,197.37,198.46,195.19,197.18,196.72,12287800
1/28/2025,194.65,197.23,192.61,197.07,196.61,15939200
1/27/2025,194.19,198.67,192.7,193.77,193.32,24970200
1/24/2025,199.85,202.57,199.78,201.9,201.43,12732400
1/23/2025,199.98,201.94,196.82,199.58,199.11,15170800
1/22/2025,200.55,202.12,199.2,200.03,199.56,15477400
1/21/2025,200.51,203.84,199.44,199.63,199.16,19005200
1/17/2025,198.05,198.81,195.31,197.55,197.09,22109100
1/16/2025,195.82,196.98,194.3,194.41,193.96,13449600
1/15/2025,194.35,197.8,193.33,196.98,196.52,12894900
1/14/2025,192.5,193.27,189.64,191.05,190.6,13651200
1/13/2025,191.35,192.49,188.66,192.29,191.84,13169100
1/10/2025,195.42,197.62,191.6,193.17,192.72,20753800
1/8/2025,193.95,197.64,193.75,195.39,194.93,14335300
1/7/2025,198.27,202.14,195.94,196.71,196.25,16966800
1/6/2025,195.15,199.56,195.06,197.96,197.5,19483300
1/3/2025,192.73,194.5,191.35,193.13,192.68,12875000
1/2/2025,191.49,193.2,188.71,190.63,190.18,17545200
